"Indeks","Antall","Delenummer","Produsentens delenummer","Beskrivelse","Kundereferanse","Tilgjengelig","Restordre","Enhetspris","Utvidet pris NOK"
"1","2","1928-1238-ND","FKP2D006801D00KSSD","CAP FILM 680PF 10% 100VDC RAD","","2","0","5,78000","11,56"
"2","4","10-ECA-2AM470BJCT-ND","ECA-2AM470BJ","CAP ALUM 47UF 20% 100V RADIAL TH","","4","0","3,99000","15,96"
"3","4","1928-1289-ND","FKP2O100471D00KSSD","CAP FILM 47PF 10% 1KVDC RAD","","4","0","4,73000","18,92"
"4","10","495-4092-ND","B32522C0106K000","CAP FILM 10UF 10% 63VDC RADIAL","","10","0","16,40100","164,01"
"5","2","478-1832-ND","TAP104K050SCS","CAP TANT 0.1UF 10% 50V RADIAL","","2","0","7,04000","14,08"
"6","2","732-8663-1-ND","860010672011","CAP ALUM 33UF 20% 50V RADIAL TH","","2","0","1,26000","2,52"
"7","4","A106006CT-ND","RGP0207CHK1G0","RES 1G OHM 10% 1/4W AXIAL","","4","0","9,66000","38,64"
"8","2","RNF14FTD150RCT-ND","RNF14FTD150R","RES 150 OHM 1% 1/4W AXIAL","","2","0","1,05000","2,10"
"9","4","S56KCACT-ND","RNMF14FTC56K0","RES 56K OHM 1% 1/4W AXIAL","","4","0","1,05000","4,20"
"10","4","A105969CT-ND","YR1B100RCC","RES 100 OHM 0.1% 1/4W AXIAL","","4","0","6,62000","26,48"
"11","4","13-MFR-25FTE52-470RCT-ND","MFR-25FTE52-470R","RES 470 OHM 1% 1/4W AXIAL","","4","0","1,05000","4,20"
"12","4","S4.7KCACT-ND","RNMF14FTC4K70","RES 4.7K OHM 1% 1/4W AXIAL","","4","0","1,05000","4,20"
"13","8","4786-1N4148CT-ND","1N4148","DIODE, SWITCHING, 150MA, 75V, DO","","8","0","1,05000","8,40"
"14","1","296-46621-1-ND","OPA1679IDR","IC AUDIO 4 CIRCUIT 14SOIC","","1","0","13,76000","13,76"
"15","1","HM5618-ND","R100-064-000","BOX ALUM BEIGE 3.94""L X 2.56""W","","1","0","495,08000","495,08"
"16","4","889-1797-ND","AC3FDZ","CONN PLUG FMALE XLR 3P SLDR CUP","","4","0","64,37000","257,48"
